7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
aardvark-dns 1.16.0-1
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
agsv1 1.9.0-1
aha 0.5.1-3
airshipper 0.16.0-2
akonadi-contacts 25.08.3-1
akonadi-mime 25.08.3-1
akonadi-search 25.08.3-1
alsa-card-profiles 1:1.4.9-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
altserver-bin 0.0.5-1
android-tools 35.0.2-22
android-udev 20250525-1
anttweakbar 1.16-9
aom 3.13.1-1
appimagelauncher 3.0.0_beta_3-1
appmenu-glib-translator-git 24.05.r4.g6a239ce-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
appstream-qt 1.1.1-1
aquamarine 0.9.5-4
archlinux-keyring 20251116-1
argagg 0.4.7-3
argon2 20190702-6
aria2 1.37.0-2
aribb24 1.0.3-4
ark 25.08.3-1
asciinema 3.0.1-1
asciiquarium 1.1-7
aspell 0.60.8.1-2
asusctl 6.1.12-0.1
at-spi2-core 2.58.1-2
atkmm 2.28.4-1
attica 6.19.0-1
attica5 5.116.0-2
attr 2.5.2-1
audacity 1:3.7.5-1
audit 4.1.2-1
aurorae 6.5.2-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
aylurs-gtk-shell-git 3.0.0.r4.gfe13af2-1
b43-fwcutter 019-6
babl 0.1.116-1
balena-etcher 2:2.1.3-2
baloo 6.19.0-1
baloo-widgets 25.08.3-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.17.0-1
bc 1.08.2-1
bcg729 1.1.1-2
bcprov 1.82-1
beets 2.5.1-1
bfg 1.15.0-1
bind 9.20.15-1
binutils 2.45.1-1
bison 3.8.2-8
bitwarden 2025.10.0-1
blas 3.12.1-2
bluedevil 1:6.5.2-1
blueman 2.4.6-1
blueprint-compiler 0.18.0-1
bluez 5.84-2
bluez-libs 5.84-2
bluez-qt 6.19.0-1
bluez-utils 5.84-2
bolt-launcher 0.20.4-1
boost 1.89.0-3
boost-libs 1.89.0-3
botan 3.10.0-1
botan2 2.19.5-2
breeze 6.5.2-1
breeze-gtk 6.5.2-1
breeze-icons 6.19.0-1
brightnessctl 0.5.1-3
brltty 6.8-4
brotli 1.1.0-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairo-perl 1.109-6
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
calc 2.15.1.1-1
cantarell-fonts 1:0.303.1-2
capnproto 1.2.0-1
capstone 5.0.6-1
catatonit 0.2.1-2
cava 0.10.6-1
cblas 3.12.1-2
ccache 4.12.1-2
cdparanoia 10.2-9
cdrdao 1.2.5-7
cdrtools 3.02a09-6
cfitsio 1:4.6.3-1
chafa 1.16.2-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20251111-1
chromaprint 1.6.0-2
chromium 142.0.7444.134-1
cifs-utils 7.4-1
cjson 1.7.19-1
clang 21.1.5-1
clazy 1.16-2
clinfo 3.0.23.01.25-1
clipboard-sync 0.2.0-1
cliphist 1:0.7.0-1
clucene 2.3.3.4-16
cmake 4.1.2-1
cmark 0.31.1-1
compiler-rt 21.1.5-1
composefs 1.0.8-1
confuse 3.3-4
conmon 1:2.1.13-1
containerd 2.2.0-1
containers-common 1:0.64.2-1
convertlit 1.8-13
